drug_name,medical_condition,rating,no_of_reviews
avar cleanser,acne,8.0,1.0
avar ls,acne,-1.0,0.0
avar ls cleanser,acne,-1.0,0.0
benzac,acne,-1.0,0.0
benzac ac,acne,-1.0,0.0
benzac ac wash,acne,-1.0,0.0
benzac w,acne,-1.0,0.0
benzagel,acne,-1.0,0.0
benzagel wash,acne,-1.0,0.0
benzamycin pak,acne,-1.0,0.0
benzashave,acne,-1.0,0.0
benzefoam ultra,acne,10.0,1.0
benzepro,acne,-1.0,0.0
benziq,acne,-1.0,0.0
benzoyl peroxide / hydrocortisone,acne,10.0,1.0
benzoyl peroxide / salicylic acid,acne,8.0,1.0
benzoyl peroxide / tretinoin,acne,-1.0,0.0
binora,acne,-1.0,0.0
bp 10-wash,acne,-1.0,0.0
bpo 6 foaming cloths,acne,-1.0,0.0
bpo gel,acne,0.0,1.0
bp wash,acne,9.0,1.0
brevoxyl,acne,-1.0,0.0
brevoxyl acne wash kit,acne,-1.0,0.0
cerave sa renewing,acne,10.0,1.0
clarifoam ef,acne,8.1,7.0
clascoterone,acne,-1.0,0.0
cleanse & treat,acne,-1.0,0.0
cleanse & treat plus,acne,-1.0,0.0
clearskin,acne,-1.0,0.0
compound w,acne,-1.0,0.0
dermalzone,acne,-1.0,0.0
dhs salicylic acid 3%,acne,-1.0,0.0
drospirenone / ethinyl estradiol / levomefolate calcium,acne,7.0,37.0
dulcolax milk of magnesia,acne,-1.0,0.0
durasal,acne,-1.0,0.0
enzoclear foam,acne,-1.0,0.0
ethinyl estradiol / norethindrone,acne,3.8,187.0
ex-lax milk of magnesia,acne,-1.0,0.0
fabior,acne,7.1,9.0
fostex,acne,-1.0,0.0
fostex medicated,acne,10.0,1.0
fostex medicated cleansing cream,acne,-1.0,0.0
fostex wash 10%,acne,-1.0,0.0
hydrisalic,acne,-1.0,0.0
inova,acne,-1.0,0.0
inova 4/1,acne,8.0,1.0
inova 8/2,acne,-1.0,0.0
jasmiel,acne,-1.0,0.0
liquimat light,acne,-1.0,0.0
liquimat medium,acne,-1.0,0.0
lo-zumandimine,acne,-1.0,0.0
meted,acne,-1.0,0.0
mono-linyah,acne,5.7,6.0
neuac,acne,-1.0,0.0
neutrogena clear pore cleanser/mask,acne,-1.0,0.0
neutrogena rapid clear stubborn acne,acne,-1.0,0.0
nikki,acne,5.2,46.0
oscion,acne,-1.0,0.0
oxy-10,acne,8.7,3.0
oxy daily wash,acne,-1.0,0.0
p & s,acne,-1.0,0.0
panoxyl 4% acne creamy wash,acne,-1.0,0.0
pernox,acne,10.0,2.0
persa-gel,acne,-1.0,0.0
plexion,acne,-1.0,0.0
propa ph acne med cleansing,acne,-1.0,0.0
r a acne,acne,-1.0,0.0
resinol,acne,-1.0,0.0
resorcinol / sulfur,acne,7.5,2.0
resorcinol,acne,-1.0,0.0
retapamulin,acne,8.3,3.0
riax,acne,-1.0,0.0
sal-plant gel,acne,-1.0,0.0
salactic film,acne,-1.0,0.0
salex,acne,-1.0,0.0
salicylic acid/sulfur,acne,10.0,3.0
salvax,acne,-1.0,0.0
sarecycline,acne,8.9,8.0
sastid,acne,-1.0,0.0
scalpicin scalp relief,acne,-1.0,0.0
sebulex,acne,-1.0,0.0
soluclenz rx,acne,-1.0,0.0
sss 10-4,acne,-1.0,0.0
sss 10-5,acne,-1.0,0.0
sss cleanser,acne,-1.0,0.0
stri-dex,acne,-1.0,0.0
stridex body focus,acne,-1.0,0.0
stridex maximum strength,acne,-1.0,0.0
sulfacleanse 8/4,acne,10.0,1.0
sulfoam,acne,-1.0,0.0
sulfur,acne,9.5,2.0
sulpho-lac soap,acne,-1.0,0.0
sumadan,acne,8.0,2.0
sumaxin,acne,-1.0,0.0
suphera,acne,-1.0,0.0
syeda,acne,2.6,5.0
tinamed plantar,acne,-1.0,0.0
tri-estarylla,acne,4.4,5.0
tri-linyah,acne,6.5,12.0
tri-lo-marzia,acne,3.7,28.0
trifarotene,acne,10.0,1.0
twyneo,acne,-1.0,0.0
vanoxide-hc,acne,10.0,1.0
winlevi,acne,-1.0,0.0
z-clinz 10,acne,-1.0,0.0
zarah,acne,8.5,2.0
zumandimine,acne,6.0,1.0
vyvanse,adhd,7.3,768.0
adderall,adhd,7.4,360.0
adderall xr,adhd,7.9,207.0
concerta,adhd,6.8,382.0
lisdexamfetamine,adhd,7.3,799.0
daytrana,adhd,8.3,73.0
quillivant xr,adhd,5.4,21.0
amantadine,adhd,7.2,10.0
cotempla xr-odt,adhd,6.5,8.0
jornay pm,adhd,8.7,3.0
methylphenidate,adhd,7.0,833.0
quillichew er,adhd,2.0,1.0
azstarys,adhd,7.6,11.0
qelbree,adhd,4.8,12.0
strattera,adhd,5.2,478.0
dexedrine,adhd,8.6,93.0
amphetamine / dextroamphetamine,adhd,6.8,894.0
ritalin,adhd,6.9,160.0
dextroamphetamine,adhd,8.3,194.0
bupropion,adhd,6.1,133.0
clonidine,adhd,7.6,61.0
intuniv,adhd,6.3,152.0
desoxyn,adhd,9.4,35.0
guanfacine,adhd,5.8,257.0
focalin,adhd,5.8,127.0
atomoxetine,adhd,5.1,558.0
focalin xr,adhd,7.0,106.0
amphetamine,adhd,6.4,119.0
ritalin la,adhd,7.9,17.0
kapvay,adhd,7.4,18.0
methylin,adhd,8.2,14.0
dexmethylphenidate,adhd,6.3,266.0
methamphetamine,adhd,8.8,52.0
modafinil,adhd,7.5,41.0
metadate cd,adhd,7.1,41.0
methylin er,adhd,8.5,8.0
omega-3 polyunsaturated fatty acids,adhd,8.2,9.0
procentra,adhd,9.5,2.0
selegiline,adhd,10.0,2.0
zenzedi,adhd,8.1,25.0
adhansia xr,adhd,6.7,3.0
aptensio xr,adhd,6.8,11.0
armodafinil,adhd,8.1,24.0
desvenlafaxine,adhd,7.0,8.0
evekeo,adhd,6.9,33.0
mydayis,adhd,5.5,124.0
relexxii,adhd,-1.0,0.0
adzenys er,adhd,8.0,2.0
adzenys xr-odt,adhd,6.1,53.0
desipramine,adhd,8.0,2.0
dyanavel xr,adhd,6.6,26.0
evekeo odt,adhd,-1.0,0.0
imipramine,adhd,5.5,5.0
dexmethylphenidate / serdexmethylphenidate,adhd,7.6,11.0
viloxazine,adhd,4.5,13.0
truvada,aids/hiv,7.1,14.0
biktarvy,aids/hiv,6.9,171.0
triumeq,aids/hiv,8.3,119.0
genvoya,aids/hiv,7.2,122.0
stribild,aids/hiv,9.5,89.0
atripla,aids/hiv,9.1,103.0
descovy,aids/hiv,4.8,5.0
norvir,aids/hiv,1.0,3.0
isentress,aids/hiv,8.6,17.0
dovato,aids/hiv,5.9,30.0
tivicay,aids/hiv,6.8,19.0
abacavir / dolutegravir / lamivudine,aids/hiv,8.3,120.0
prezista,aids/hiv,7.7,4.0
bictegravir / emtricitabine / tenofovir alafenamide,aids/hiv,6.9,171.0
cobicistat / elvitegravir / emtricitabine / tenofovir,aids/hiv,9.5,89.0
cabenuva,aids/hiv,8.0,2.0
dolutegravir / lamivudine,aids/hiv,5.9,30.0
emtricitabine / tenofovir alafenamide,aids/hiv,4.8,5.0
complera,aids/hiv,8.3,58.0
reyataz,aids/hiv,10.0,2.0
epzicom,aids/hiv,10.0,5.0
ritonavir,aids/hiv,1.0,3.0
lamivudine,aids/hiv,6.5,4.0
tenofovir,aids/hiv,-1.0,0.0
viread,aids/hiv,-1.0,0.0
dolutegravir,aids/hiv,7.0,25.0
kaletra,aids/hiv,6.8,4.0
epivir,aids/hiv,6.0,2.0
intelence,aids/hiv,8.0,2.0
sustiva,aids/hiv,4.4,5.0
abacavir,aids/hiv,1.0,1.0
efavirenz / emtricitabine / tenofovir,aids/hiv,9.1,107.0
emtricitabine / tenofovir,aids/hiv,7.1,14.0
darunavir,aids/hiv,7.8,5.0
efavirenz,aids/hiv,5.1,7.0
odefsey,aids/hiv,8.4,10.0
raltegravir,aids/hiv,8.4,18.0
abacavir / lamivudine,aids/hiv,9.4,6.0
prezcobix,aids/hiv,4.0,3.0
viramune,aids/hiv,4.5,2.0
combivir,aids/hiv,7.0,3.0
ziagen,aids/hiv,-1.0,0.0
zidovudine,aids/hiv,-1.0,0.0
atazanavir,aids/hiv,10.0,2.0
emtricitabine,aids/hiv,-1.0,0.0
emtriva,aids/hiv,-1.0,0.0
edurant,aids/hiv,-1.0,0.0
lexiva,aids/hiv,-1.0,0.0
nevirapine,aids/hiv,7.3,6.0
retrovir,aids/hiv,-1.0,0.0
selzentry,aids/hiv,7.3,3.0
juluca,aids/hiv,7.5,5.0
symtuza,aids/hiv,9.3,4.0
trizivir,aids/hiv,9.0,1.0
epivir-hbv,aids/hiv,-1.0,0.0
etravirine,aids/hiv,8.0,2.0
isentress hd,aids/hiv,-1.0,0.0
lamivudine / tenofovir,aids/hiv,-1.0,0.0
lopinavir / ritonavir,aids/hiv,7.0,5.0
maraviroc,aids/hiv,7.3,3.0
tivicay pd,aids/hiv,10.0,1.0
viramune xr,aids/hiv,-1.0,0.0
accesspak for hiv pep basic,aids/hiv,-1.0,0.0
delstrigo,aids/hiv,9.5,2.0
efavirenz / lamivudine / tenofovir,aids/hiv,-1.0,0.0
emtricitabine / rilpivirine / tenofovir,aids/hiv,8.3,58.0
evotaz,aids/hiv,-1.0,0.0
fuzeon,aids/hiv,9.3,5.0
lamivudine / zidovudine,aids/hiv,7.0,3.0
pifeltro,aids/hiv,1.0,1.0
viracept,aids/hiv,-1.0,0.0
abacavir / lamivudine / zidovudine,aids/hiv,9.0,1.0
aptivus,aids/hiv,-1.0,0.0
cimduo,aids/hiv,-1.0,0.0
cobicistat / darunavir,aids/hiv,4.0,3.0
cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,aids/hiv,7.2,122.0
cobicistat,aids/hiv,-1.0,0.0
doravirine,aids/hiv,1.0,1.0
elvitegravir,aids/hiv,-1.0,0.0
enfuvirtide,aids/hiv,9.3,5.0
ibalizumab,aids/hiv,-1.0,0.0
immune globulin intravenous,aids/hiv,-1.0,0.0
invirase,aids/hiv,-1.0,0.0
nelfinavir,aids/hiv,-1.0,0.0
rilpivirine,aids/hiv,1.0,1.0
rukobia,aids/hiv,-1.0,0.0
saquinavir,aids/hiv,-1.0,0.0
symfi,aids/hiv,-1.0,0.0
symfi lo,aids/hiv,-1.0,0.0
temixys,aids/hiv,-1.0,0.0
trogarzo,aids/hiv,-1.0,0.0
tybost,aids/hiv,-1.0,0.0
accesspak for hiv pep expanded with kaletra,aids/hiv,-1.0,0.0
accesspak for hiv pep expanded with viracept,aids/hiv,-1.0,0.0
atazanavir / cobicistat,aids/hiv,-1.0,0.0
cabotegravir / rilpivirine,aids/hiv,8.0,2.0
cabotegravir,aids/hiv,-1.0,0.0
cobicistat / darunavir / emtricitabine / tenofovir alafenamide,aids/hiv,9.3,4.0
dolutegravir / rilpivirine,aids/hiv,7.5,5.0
doravirine / lamivudine / tenofovir,aids/hiv,9.5,2.0
emtricitabine / lopinavir / ritonavir / tenofovir,aids/hiv,-1.0,0.0
emtricitabine / nelfinavir / tenofovir,aids/hiv,-1.0,0.0
emtricitabine / rilpivirine / tenofovir alafenamide,aids/hiv,8.4,10.0
fosamprenavir,aids/hiv,-1.0,0.0
fostemsavir,aids/hiv,-1.0,0.0
lamivudine / nevirapine / zidovudine,aids/hiv,-1.0,0.0
tipranavir,aids/hiv,-1.0,0.0
triumeq pd,aids/hiv,-1.0,0.0
vocabria,aids/hiv,-1.0,0.0
hydroxyzine,allergies,7.3,60.0
levocetirizine,allergies,4.7,213.0
loratadine,allergies,4.8,8.0
xyzal,allergies,4.6,181.0
doxylamine,allergies,-1.0,0.0
corticotropin,allergies,5.0,2.0
acthar,allergies,5.0,2.0
chlorpheniramine / ibuprofen / phenylephrine,allergies,-1.0,0.0
dexbrompheniramine,allergies,-1.0,0.0
ala-hist ir,allergies,-1.0,0.0
dexbrompheniramine / phenylephrine,allergies,-1.0,0.0
equaline sleep aid,allergies,-1.0,0.0
equate sleep aid,allergies,-1.0,0.0
h.p. acthar gel,allergies,-1.0,0.0
aricept,alzheimer's,5.0,32.0
donepezil,alzheimer's,4.8,64.0
namenda,alzheimer's,4.9,25.0
memantine,alzheimer's,4.5,53.0
etanercept,alzheimer's,-1.0,0.0
exelon,alzheimer's,6.7,12.0
galantamine,alzheimer's,8.1,12.0
namenda xr,alzheimer's,3.3,4.0
rivastigmine,alzheimer's,6.0,28.0
aricept odt,alzheimer's,5.0,2.0
namzaric,alzheimer's,8.8,6.0
vitamin e,alzheimer's,-1.0,0.0
donepezil / memantine,alzheimer's,8.8,6.0
razadyne,alzheimer's,-1.0,0.0
razadyne er,alzheimer's,10.0,2.0
adlarity,alzheimer's,-1.0,0.0
hydergine,alzheimer's,-1.0,0.0
alpha e,alzheimer's,-1.0,0.0
ergoloid mesylates,alzheimer's,-1.0,0.0
aduhelm,alzheimer's,-1.0,0.0
aqua gem-e,alzheimer's,-1.0,0.0
aquasol e,alzheimer's,-1.0,0.0
e-400 clear,alzheimer's,-1.0,0.0
e-600,alzheimer's,-1.0,0.0
e-gems,alzheimer's,-1.0,0.0
e pherol,alzheimer's,-1.0,0.0
aducanumab,alzheimer's,-1.0,0.0
aspirin,angina,10.0,2.0
nitroglycerin,angina,8.6,8.0
ranexa,angina,7.0,66.0
metoprolol,angina,7.5,15.0
isosorbide mononitrate,angina,3.9,51.0
amlodipine,angina,9.7,4.0
nitrostat,angina,8.0,2.0
ranolazine,angina,7.1,81.0
enoxaparin,angina,8.5,2.0
isosorbide dinitrate,angina,3.8,4.0
atenolol,angina,9.0,1.0
carvedilol,angina,5.5,3.0
norvasc,angina,-1.0,0.0
lopressor,angina,10.0,3.0
bayer aspirin,angina,-1.0,0.0
coreg,angina,-1.0,0.0
toprol-xl,angina,9.0,1.0
amlodipine / atorvastatin,angina,-1.0,0.0
ecotrin,angina,-1.0,0.0
propranolol,angina,-1.0,0.0
easprin,angina,-1.0,0.0
nitrolingual pumpspray,angina,9.0,3.0
verapamil,angina,0.0,1.0
bayer aspirin regimen,angina,-1.0,0.0
caduet,angina,-1.0,0.0
aspir-low,angina,-1.0,0.0
katerzia,angina,-1.0,0.0
lovenox,angina,10.0,1.0
norliqva,angina,-1.0,0.0
arthritis pain,angina,-1.0,0.0
ascriptin,angina,-1.0,0.0
aspergum,angina,-1.0,0.0
aspiritab,angina,-1.0,0.0
aspirtab,angina,-1.0,0.0
bayer aspirin extra strength plus,angina,10.0,1.0
ecpirin,angina,-1.0,0.0
entercote,angina,-1.0,0.0
genacote,angina,-1.0,0.0
halfprin,angina,-1.0,0.0
nitro-dur,angina,-1.0,0.0
norwich aspirin,angina,-1.0,0.0
tenormin,angina,-1.0,0.0
vazalore,angina,-1.0,0.0
coreg cr,angina,-1.0,0.0
corgard,angina,10.0,1.0
heparin,angina,-1.0,0.0
inderal la,angina,-1.0,0.0
kapspargo sprinkle,angina,-1.0,0.0
nitro-bid,angina,-1.0,0.0
fragmin,angina,-1.0,0.0
nadolol,angina,10.0,1.0
nitro td patch-a,angina,-1.0,0.0
amyl nitrite,angina,-1.0,0.0
angiomax,angina,-1.0,0.0
bivalirudin,angina,-1.0,0.0
calan sr,angina,-1.0,0.0
dalteparin,angina,-1.0,0.0
dilatrate-sr,angina,-1.0,0.0
eptifibatide,angina,-1.0,0.0
gonitro,angina,-1.0,0.0
integrilin,angina,-1.0,0.0
isochron,angina,-1.0,0.0
isoditrate,angina,-1.0,0.0
isordil titradose,angina,-1.0,0.0
minitran,angina,-1.0,0.0
nitro-time,angina,-1.0,0.0
nitromist,angina,-1.0,0.0
timolol,angina,-1.0,0.0
verelan,angina,-1.0,0.0
verelan pm,angina,-1.0,0.0
aspruzyo sprinkle,angina,-1.0,0.0
xanax,anxiety,8.5,552.0
clonazepam,anxiety,8.5,774.0
alprazolam,anxiety,8.6,840.0
lorazepam,anxiety,8.0,654.0
buspirone,anxiety,5.8,1034.0
diazepam,anxiety,8.4,459.0
ativan,anxiety,8.1,330.0
hydroxyzine,anxiety,5.5,852.0
lexapro,anxiety,7.5,899.0
buspar,anxiety,5.9,520.0
escitalopram,anxiety,7.4,1471.0
valium,anxiety,8.8,194.0
gabapentin,anxiety,7.9,450.0
propranolol,anxiety,7.3,356.0
cymbalta,anxiety,6.4,295.0
bupropion,anxiety,5.9,173.0
effexor xr,anxiety,6.9,233.0
trazodone,anxiety,6.6,128.0
duloxetine,anxiety,6.2,381.0
paxil,anxiety,7.2,264.0
clonidine,anxiety,6.9,82.0
venlafaxine,anxiety,6.5,402.0
mirtazapine,anxiety,6.6,501.0
paroxetine,anxiety,7.1,366.0
alprazolam intensol,anxiety,10.0,8.0
lamotrigine,anxiety,7.0,107.0
tramadol,anxiety,9.3,106.0
atenolol,anxiety,7.9,51.0
risperidone,anxiety,4.9,67.0
tenormin,anxiety,9.0,4.0
tranxene,anxiety,9.7,15.0
lorazepam intensol,anxiety,9.0,4.0
clorazepate,anxiety,9.1,44.0
doxepin,anxiety,6.9,42.0
oxazepam,anxiety,8.5,54.0
paxil cr,anxiety,8.1,14.0
amitriptyline / perphenazine,anxiety,9.7,7.0
chlordiazepoxide,anxiety,7.7,35.0
desvenlafaxine,anxiety,7.1,182.0
diazepam intensol,anxiety,10.0,3.0
loreev xr,anxiety,10.0,1.0
oxcarbazepine,anxiety,6.0,37.0
pexeva,anxiety,7.3,4.0
phenytoin,anxiety,9.0,3.0
prochlorperazine,anxiety,2.1,84.0
amitriptyline / chlordiazepoxide,anxiety,9.8,4.0
compro,anxiety,-1.0,0.0
corgard,anxiety,-1.0,0.0
meprobamate,anxiety,8.5,14.0
nadolol,anxiety,7.0,2.0
nefazodone,anxiety,9.3,39.0
tranxene t-tab,anxiety,10.0,2.0
trifluoperazine,anxiety,8.1,9.0
vilazodone,anxiety,6.1,66.0
singulair,asthma,6.4,61.0
montelukast,asthma,5.2,195.0
prednisone,asthma,7.2,65.0
trelegy ellipta,asthma,5.3,19.0
fasenra,asthma,7.0,43.0
nucala,asthma,7.1,58.0
benralizumab,asthma,6.9,46.0
fluticasone / umeclidinium / vilanterol,asthma,5.3,19.0
mepolizumab,asthma,7.1,61.0
tezepelumab,asthma,-1.0,0.0
tezspire,asthma,-1.0,0.0
dulera,asthma,6.0,36.0
atrovent,asthma,9.0,5.0
breo ellipta,asthma,5.7,122.0
ipratropium,asthma,7.8,11.0
methylprednisolone,asthma,7.9,11.0
atrovent hfa,asthma,9.5,2.0
dexamethasone,asthma,6.8,6.0
alvesco,asthma,7.0,9.0
levalbuterol,asthma,7.3,5.0
ipratropium inhalation solution,asthma,10.0,1.0
rayos,asthma,-1.0,0.0
fluticasone / vilanterol,asthma,5.7,122.0
formoterol / mometasone,asthma,6.0,36.0
medrol,asthma,-1.0,0.0
methylprednisolone dose pack,asthma,9.5,3.0
triamcinolone,asthma,9.0,6.0
dexamethasone intensol,asthma,-1.0,0.0
kenalog-40,asthma,7.5,2.0
medrol dosepak,asthma,8.7,3.0
depo-medrol,asthma,-1.0,0.0
solu-medrol,asthma,8.0,2.0
xopenex,asthma,10.0,1.0
xopenex hfa,asthma,0.0,1.0
caffeine,asthma,8.5,3.0
ciclesonide,asthma,7.0,9.0
de-sone la,asthma,-1.0,0.0
dxevo,asthma,-1.0,0.0
dyphylline / guaifenesin,asthma,-1.0,0.0
ipratropium inhalation aerosol,asthma,-1.0,0.0
cinqair,asthma,8.6,8.0
reslizumab,asthma,8.6,8.0
salbutamol,asthma,7.0,1.0
xopenex concentrate,asthma,-1.0,0.0
difil-g forte,asthma,-1.0,0.0
lamictal,bipolar disorder,8.1,600.0
lamotrigine,bipolar disorder,8.0,970.0
latuda,bipolar disorder,6.3,634.0
seroquel,bipolar disorder,6.8,383.0
abilify,bipolar disorder,5.5,332.0
topiramate,bipolar disorder,7.0,133.0
vraylar,bipolar disorder,5.6,328.0
lithium,bipolar disorder,7.3,334.0
lurasidone,bipolar disorder,6.3,681.0
abilify maintena,bipolar disorder,5.8,18.0
cariprazine,bipolar disorder,5.7,346.0
caplyta,bipolar disorder,5.6,42.0
lumateperone,bipolar disorder,5.6,44.0
lybalvi,bipolar disorder,10.0,1.0
quetiapine,bipolar disorder,6.9,655.0
depakote,bipolar disorder,6.2,180.0
gabapentin,bipolar disorder,8.3,132.0
bupropion,bipolar disorder,7.0,83.0
clonazepam,bipolar disorder,8.6,93.0
seroquel xr,bipolar disorder,7.2,106.0
divalproex sodium,bipolar disorder,6.4,265.0
risperdal,bipolar disorder,6.4,88.0
geodon,bipolar disorder,5.5,236.0
oxcarbazepine,bipolar disorder,8.0,160.0
sertraline,bipolar disorder,6.9,53.0
zyprexa,bipolar disorder,6.1,160.0
risperidone,bipolar disorder,6.1,174.0
aripiprazole,bipolar disorder,5.6,414.0
depakote er,bipolar disorder,7.4,48.0
olanzapine,bipolar disorder,6.2,289.0
saphris,bipolar disorder,7.2,223.0
venlafaxine,bipolar disorder,6.6,75.0
citalopram,bipolar disorder,8.5,14.0
carbamazepine,bipolar disorder,7.0,106.0
duloxetine,bipolar disorder,6.7,47.0
escitalopram,bipolar disorder,6.5,58.0
ziprasidone,bipolar disorder,5.6,288.0
clonidine,bipolar disorder,7.5,7.0
symbyax,bipolar disorder,7.9,38.0
valproic acid,bipolar disorder,5.6,26.0
armodafinil,bipolar disorder,9.2,14.0
fluoxetine / olanzapine,bipolar disorder,7.7,48.0
lamictal odt,bipolar disorder,9.0,3.0
levetiracetam,bipolar disorder,6.7,7.0
lithobid,bipolar disorder,6.7,15.0
zyprexa zydis,bipolar disorder,8.2,7.0
asenapine,bipolar disorder,7.1,243.0
desvenlafaxine,bipolar disorder,6.9,19.0
equetro,bipolar disorder,5.0,4.0
iloperidone,bipolar disorder,8.7,10.0
lamictal cd,bipolar disorder,2.0,1.0
paliperidone,bipolar disorder,4.8,55.0
perphenazine,bipolar disorder,7.1,13.0
risperdal consta,bipolar disorder,2.5,4.0
tiagabine,bipolar disorder,10.0,2.0
verapamil,bipolar disorder,-1.0,0.0
abilify mycite,bipolar disorder,-1.0,0.0
depakote sprinkles,bipolar disorder,-1.0,0.0
zyprexa intramuscular,bipolar disorder,-1.0,0.0
olanzapine / samidorphan,bipolar disorder,10.0,1.0
mucinex,bronchitis,5.8,51.0
azithromycin,bronchitis,6.2,188.0
azithromycin dose pack,bronchitis,5.9,17.0
doxycycline,bronchitis,5.1,47.0
amoxicillin,bronchitis,5.8,15.0
guaifenesin,bronchitis,6.7,73.0
levofloxacin,bronchitis,5.4,120.0
augmentin,bronchitis,6.5,33.0
levaquin,bronchitis,5.3,76.0
zithromax,bronchitis,5.9,40.0
amoxicillin / clavulanate,bronchitis,6.5,51.0
clarithromycin,bronchitis,5.3,138.0
cefdinir,bronchitis,4.5,42.0
ciprofloxacin,bronchitis,5.5,23.0
amoxil,bronchitis,1.0,1.0
cefuroxime,bronchitis,6.1,12.0
avelox,bronchitis,6.5,29.0
cipro,bronchitis,5.5,11.0
bactrim,bronchitis,5.7,6.0
erythromycin,bronchitis,7.5,4.0
sulfamethoxazole / trimethoprim,bronchitis,6.9,15.0
bactrim ds,bronchitis,6.5,2.0
ceftin,bronchitis,6.0,2.0
ceftriaxone,bronchitis,6.3,3.0
