question,answer
What is peptic ulcer diseae?,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
What are the symptoms of peptic ulcer diseae?,"Common symptoms may include  loss_of_appetite,  abdominal_pain,  internal_itching,  indigestion,  passage_of_gases, and  vomiting."
How can I prevent peptic ulcer diseae?,"To prevent peptic ulcer diseae, it is recommended to consume probiotic food, avoid fatty spicy food, limit alcohol, and eliminate milk."
What is pneumonia?,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
What are the symptoms of pneumonia?,"Common symptoms may include  sweating,  fatigue,  high_fever,  rusty_sputum,  phlegm,  chest_pain,  cough,  chills,  malaise,  breathlessness, and  fast_heart_rate."
How can I prevent pneumonia?,"To prevent pneumonia, it is recommended to consult doctor, follow up, rest, and medication."
What medications should I take for pneumonia?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is psoriasis?,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
What are the symptoms of psoriasis?,"Common symptoms may include  silver_like_dusting,  skin_rash,  inflammatory_nails,  joint_pain,  skin_peeling, and  small_dents_in_nails."
How can I prevent psoriasis?,"To prevent psoriasis, it is recommended to wash hands with warm soapy water, salt baths, stop bleeding using pressure, and consult doctor."
What medications should I take for psoriasis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is tuberculosis?,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
What are the symptoms of tuberculosis?,"Common symptoms may include  swelled_lymph_nodes,  sweating,  fatigue,  high_fever,  loss_of_appetite,  phlegm,  blood_in_sputum,  chest_pain,  cough,  chills,  mild_fever,  yellowing_of_eyes,  malaise,  breathlessness,  weight_loss, and  vomiting."
How can I prevent tuberculosis?,"To prevent tuberculosis, it is recommended to consult doctor, rest, medication, and cover mouth."
What is typhoid?,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
What are the symptoms of typhoid?,"Common symptoms may include  nausea,  toxic_look_(typhos),  fatigue,  high_fever,  constipation,  abdominal_pain,  belly_pain,  chills,  headache,  diarrhoea, and  vomiting."
How can I prevent typhoid?,"To prevent typhoid, it is recommended to eat high calorie vegitables, medication, consult doctor, and antiboitic therapy."
What is urinary tract infection?,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
What are the symptoms of urinary tract infection?,"Common symptoms may include  burning_micturition,  bladder_discomfort,  continuous_feel_of_urine, and  foul_smell_of urine."
How can I prevent urinary tract infection?,"To prevent urinary tract infection, it is recommended to increase vitamin c intake, take probiotics, drink plenty of water, and drink cranberry juice."
What medications should I take for urinary tract infection?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is varicose veins?,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
What are the symptoms of varicose veins?,"Common symptoms may include  fatigue,  prominent_veins_on_calf,  bruising,  swollen_blood_vessels,  swollen_legs,  obesity, and  cramps."
How can I prevent varicose veins?,"To prevent varicose veins, it is recommended to dont stand still for long, lie down flat and raise the leg high, use oinments, and use vein compression."
What is allergic rhinitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of allergic rhinitis?,"Common symptoms may include Cough, Fatigue, and Cholesterol Level."
How can I prevent allergic rhinitis?,"To prevent allergic rhinitis, it is recommended to no specific information is available."
What medications should I take for allergic rhinitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is alzheimer's disease?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of alzheimer's disease?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent alzheimer's disease?,"To prevent alzheimer's disease, it is recommended to no specific information is available."
What medications should I take for alzheimer's disease?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is appendicitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of appendicitis?,"Common symptoms may include Fever, Fatigue, and Cough."
How can I prevent appendicitis?,"To prevent appendicitis, it is recommended to no specific information is available."
What medications should I take for appendicitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is asthma?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of asthma?,"Common symptoms may include Difficulty Breathing, Fever, and Cough."
How can I prevent asthma?,"To prevent asthma, it is recommended to no specific information is available."
What medications should I take for asthma?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is atherosclerosis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of atherosclerosis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent atherosclerosis?,"To prevent atherosclerosis, it is recommended to no specific information is available."
What medications should I take for atherosclerosis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is bipolar disorder?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of bipolar disorder?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent bipolar disorder?,"To prevent bipolar disorder, it is recommended to no specific information is available."
What medications should I take for bipolar disorder?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is bladder cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of bladder cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent bladder cancer?,"To prevent bladder cancer, it is recommended to no specific information is available."
What medications should I take for bladder cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is brain tumor?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of brain tumor?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent brain tumor?,"To prevent brain tumor, it is recommended to no specific information is available."
What medications should I take for brain tumor?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is breast cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of breast cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent breast cancer?,"To prevent breast cancer, it is recommended to no specific information is available."
What medications should I take for breast cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10)."
What is bronchitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of bronchitis?,"Common symptoms may include Difficulty Breathing, Fever, and Cough."
How can I prevent bronchitis?,"To prevent bronchitis, it is recommended to no specific information is available."
What medications should I take for bronchitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is cholecystitis?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of cholecystitis?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent cholecystitis?,"To prevent cholecystitis, it is recommended to no specific information is available."
What medications should I take for cholecystitis?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is cholera?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of cholera?,"Common symptoms may include Fever, Fatigue, and Difficulty Breathing."
How can I prevent cholera?,"To prevent cholera, it is recommended to no specific information is available."
What medications should I take for cholera?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10), ( (rated '/10), ( (rated '/10)."
What is colorectal cancer?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of colorectal cancer?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent colorectal cancer?,"To prevent colorectal cancer, it is recommended to no specific information is available."
What medications should I take for colorectal cancer?,"Based on user ratings, recommended medications for this condition, sorted by their ratings, are: ( (rated '/10)."
What is coronary artery disease?,I'm sorry. Perhaps you can seek other avenues to obtain more accurate information.
What are the symptoms of coronary artery disease?,"Common symptoms may include Fatigue, Fever, and Cough."
How can I prevent coronary artery disease?,"To prevent coronary artery disease, it is recommended to no specific information is available."
