question,answer
What is dengue?,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. Ã¢Â?called also breakbone fever, dengue fever."
What are the symptoms of dengue?,"The symptoms of dengue may include  nausea,  loss_of_appetite,  fatigue,  high_fever,  pain_behind_the_eyes,  red_spots_over_body,  chills,  skin_rash,  back_pain,  joint_pain,  malaise,  headache,  muscle_pain,  vomiting."
How can I prevent dengue?,"To prevent dengue, you should keep mosquitos away, keep hydrated, drink papaya leaf juice, avoid fatty spicy food."
What medications should I take for dengue?,"I'm sorry, I don't have that information."
What is diabetes ?,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
What are the symptoms of diabetes ?,"The symptoms of diabetes  may include  increased_appetite,  restlessness,  fatigue,  lethargy,  irregular_sugar_level,  polyuria,  blurred_and_distorted_vision,  obesity,  weight_loss,  excessive_hunger."
How can I prevent diabetes ?,"To prevent diabetes , you should consult doctor, have balanced diet, exercise, follow up."
What medications should I take for diabetes ?,"I'm sorry, I don't have that information."
What is dimorphic hemmorhoids(piles)?,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease ."
What are the symptoms of dimorphic hemmorhoids(piles)?,"The symptoms of dimorphic hemmorhoids(piles) may include  pain_during_bowel_movements,  constipation,  pain_in_anal_region,  irritation_in_anus,  bloody_stool."
How can I prevent dimorphic hemmorhoids(piles)?,"To prevent dimorphic hemmorhoids(piles), you should consume witch hazel, avoid fatty spicy food, consume alovera juice, warm bath with epsom salt."
What medications should I take for dimorphic hemmorhoids(piles)?,"I'm sorry, I don't have that information."
What is drug reaction?,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
What are the symptoms of drug reaction?,"The symptoms of drug reaction may include  stomach_pain, itching,  skin_rash,  spotting_ urination,  burning_micturition."
How can I prevent drug reaction?,"To prevent drug reaction, you should follow up, stop taking drug, consult nearest hospital, stop irritation."
What medications should I take for drug reaction?,"I'm sorry, I don't have that information."
What is fungal infection?,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
What are the symptoms of fungal infection?,"The symptoms of fungal infection may include  skin_rash,  dischromic _patches, itching,  nodal_skin_eruptions."
How can I prevent fungal infection?,"To prevent fungal infection, you should bath twice, keep infected area dry, use detol or neem in bathing water, use clean cloths."
What medications should I take for fungal infection?,"I'm sorry, I don't have that information."
What is gastroenteritis?,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
What are the symptoms of gastroenteritis?,"The symptoms of gastroenteritis may include  diarrhoea,  dehydration,  sunken_eyes,  vomiting."
How can I prevent gastroenteritis?,"To prevent gastroenteritis, you should try taking small sips of water, rest, stop eating solid food for while, ease back into eating."
What medications should I take for gastroenteritis?,"( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is gerd?,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
What are the symptoms of gerd?,"The symptoms of gerd may include  stomach_pain,  chest_pain,  cough,  acidity,  ulcers_on_tongue,  vomiting."
How can I prevent gerd?,"To prevent gerd, you should exercise, maintain healthy weight, avoid fatty spicy food, avoid lying down after eating."
What medications should I take for gerd?,"I'm sorry, I don't have that information."
What is heart attack?,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
What are the symptoms of heart attack?,"The symptoms of heart attack may include  sweating,  chest_pain,  breathlessness,  vomiting."
How can I prevent heart attack?,"To prevent heart attack, you should keep calm, chew or swallow asprin, call ambulance."
What medications should I take for heart attack?,"I'm sorry, I don't have that information."
What is hepatitis a?,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
What are the symptoms of hepatitis a?,"The symptoms of hepatitis a may include  nausea,  loss_of_appetite,  abdominal_pain,  mild_fever,  yellowing_of_eyes,  joint_pain,  dark_urine,  muscle_pain,  diarrhoea,  vomiting,  yellowish_skin."
How can I prevent hepatitis a?,"To prevent hepatitis a, you should avoid fatty spicy food, Consult nearest hospital, wash hands through, medication."
What medications should I take for hepatitis a?,"I'm sorry, I don't have that information."
What is hepatitis b?,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
What are the symptoms of hepatitis b?,"The symptoms of hepatitis b may include  loss_of_appetite,  fatigue,  lethargy,  abdominal_pain, itching,  yellow_urine,  yellowing_of_eyes,  malaise,  dark_urine,  receiving_blood_transfusion,  receiving_unsterile_injections,  yellowish_skin."
How can I prevent hepatitis b?,"To prevent hepatitis b, you should eat healthy, medication, vaccination, consult nearest hospital."
What medications should I take for hepatitis b?,( (rated '/10)
What is hepatitis c?,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
What are the symptoms of hepatitis c?,"The symptoms of hepatitis c may include  nausea,  loss_of_appetite,  fatigue,  yellowish_skin,  yellowing_of_eyes,  family_history."
How can I prevent hepatitis c?,"To prevent hepatitis c, you should eat healthy, Consult nearest hospital, vaccination, medication."
What medications should I take for hepatitis c?,"I'm sorry, I don't have that information."
What is hepatitis d?,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
What are the symptoms of hepatitis d?,"The symptoms of hepatitis d may include  nausea,  loss_of_appetite,  fatigue,  abdominal_pain,  yellowing_of_eyes,  joint_pain,  dark_urine,  vomiting,  yellowish_skin."
How can I prevent hepatitis d?,"To prevent hepatitis d, you should consult doctor, follow up, eat healthy, medication."
What medications should I take for hepatitis d?,"I'm sorry, I don't have that information."
What is hepatitis e?,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
What are the symptoms of hepatitis e?,"The symptoms of hepatitis e may include  nausea,  loss_of_appetite,  fatigue,  high_fever,  acute_liver_failure,  abdominal_pain,  stomach_bleeding,  yellowing_of_eyes,  joint_pain,  dark_urine,  coma,  vomiting,  yellowish_skin."
How can I prevent hepatitis e?,"To prevent hepatitis e, you should consult doctor, stop alcohol consumption, rest, medication."
What medications should I take for hepatitis e?,"I'm sorry, I don't have that information."
What is hypertension ?,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
What are the symptoms of hypertension ?,"The symptoms of hypertension  may include  loss_of_balance,  lack_of_concentration,  chest_pain,  headache,  dizziness."
How can I prevent hypertension ?,"To prevent hypertension , you should meditation, salt baths, get proper sleep, reduce stress."
What medications should I take for hypertension ?,"I'm sorry, I don't have that information."
What is hyperthyroidism?,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
What are the symptoms of hyperthyroidism?,"The symptoms of hyperthyroidism may include  restlessness,  fatigue,  sweating,  abnormal_menstruation,  irritability,  mood_swings,  muscle_weakness,  weight_loss,  diarrhoea,  fast_heart_rate,  excessive_hunger."
How can I prevent hyperthyroidism?,"To prevent hyperthyroidism, you should use lemon balm, eat healthy, massage, take radioactive iodine treatment."
What medications should I take for hyperthyroidism?,"I'm sorry, I don't have that information."
What is hypoglycemia?, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions Ã¢Â?many rare Ã¢Â?can cause low blood sugar in people who don't have diabetes.
What are the symptoms of hypoglycemia?,"The symptoms of hypoglycemia may include  nausea,  sweating,  fatigue,  excessive_hunger,  slurred_speech,  anxiety,  palpitations,  blurred_and_distorted_vision,  irritability,  headache,  vomiting,  drying_and_tingling_lips."
How can I prevent hypoglycemia?,"To prevent hypoglycemia, you should consult doctor, check in pulse, lie down on side, drink sugary drinks."
What medications should I take for hypoglycemia?,"I'm sorry, I don't have that information."
What is hypothyroidism?,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
What are the symptoms of hypothyroidism?,"The symptoms of hypothyroidism may include  enlarged_thyroid,  depression,  fatigue,  lethargy,  abnormal_menstruation,  puffy_face_and_eyes,  brittle_nails,  irritability,  mood_swings,  dizziness,  weight_gain,  cold_hands_and_feets,  swollen_extremeties."
How can I prevent hypothyroidism?,"To prevent hypothyroidism, you should eat healthy, exercise, get proper sleep, reduce stress."
What medications should I take for hypothyroidism?,"I'm sorry, I don't have that information."
What is impetigo?,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
What are the symptoms of impetigo?,"The symptoms of impetigo may include  high_fever,  red_sore_around_nose,  yellow_crust_ooze,  blister,  skin_rash."
How can I prevent impetigo?,"To prevent impetigo, you should consult doctor, remove scabs with wet compressed cloth, use antibiotics, soak affected area in warm water."
What medications should I take for impetigo?,"I'm sorry, I don't have that information."
What is jaundice?,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
What are the symptoms of jaundice?,"The symptoms of jaundice may include  fatigue,  high_fever,  abdominal_pain, itching,  dark_urine,  weight_loss,  vomiting,  yellowish_skin."
How can I prevent jaundice?,"To prevent jaundice, you should consume milk thistle, drink plenty of water, eat fruits and high fiberous food, medication."
What medications should I take for jaundice?,"I'm sorry, I don't have that information."
What is malaria?,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.
What are the symptoms of malaria?,"The symptoms of malaria may include  nausea,  sweating,  high_fever,  chills,  headache,  muscle_pain,  diarrhoea,  vomiting."
How can I prevent malaria?,"To prevent malaria, you should avoid oily food, avoid non veg food, Consult nearest hospital, keep mosquitos out."
What medications should I take for malaria?,"( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is migraine?,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
What are the symptoms of migraine?,"The symptoms of migraine may include  depression,  visual_disturbances,  stiff_neck,  indigestion,  blurred_and_distorted_vision,  irritability,  headache,  acidity,  excessive_hunger."
How can I prevent migraine?,"To prevent migraine, you should consult doctor, meditation, use poloroid glasses in sun, reduce stress."
What medications should I take for migraine?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is osteoarthristis?,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
What are the symptoms of osteoarthristis?,"The symptoms of osteoarthristis may include  knee_pain,  swelling_joints,  painful_walking,  neck_pain,  joint_pain,  hip_joint_pain."
How can I prevent osteoarthristis?,"To prevent osteoarthristis, you should follow up, acetaminophen, salt baths, consult nearest hospital."
What medications should I take for osteoarthristis?,"I'm sorry, I don't have that information."
What is paralysis (brain hemorrhage)?,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
What are the symptoms of paralysis (brain hemorrhage)?,"The symptoms of paralysis (brain hemorrhage) may include  headache,  weakness_of_one_body_side,  altered_sensorium,  vomiting."
How can I prevent paralysis (brain hemorrhage)?,"To prevent paralysis (brain hemorrhage), you should consult doctor, exercise, eat healthy, massage."
What medications should I take for paralysis (brain hemorrhage)?,"I'm sorry, I don't have that information."
What is peptic ulcer diseae?,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
What are the symptoms of peptic ulcer diseae?,"The symptoms of peptic ulcer diseae may include  loss_of_appetite,  abdominal_pain,  internal_itching,  indigestion,  passage_of_gases,  vomiting."
How can I prevent peptic ulcer diseae?,"To prevent peptic ulcer diseae, you should consume probiotic food, avoid fatty spicy food, limit alcohol, eliminate milk."
What medications should I take for peptic ulcer diseae?,"I'm sorry, I don't have that information."
What is pneumonia?,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
What are the symptoms of pneumonia?,"The symptoms of pneumonia may include  sweating,  fatigue,  high_fever,  rusty_sputum,  phlegm,  chest_pain,  cough,  chills,  malaise,  breathlessness,  fast_heart_rate."
How can I prevent pneumonia?,"To prevent pneumonia, you should consult doctor, follow up, rest, medication."
What medications should I take for pneumonia?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is psoriasis?,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
What are the symptoms of psoriasis?,"The symptoms of psoriasis may include  silver_like_dusting,  skin_rash,  inflammatory_nails,  joint_pain,  skin_peeling,  small_dents_in_nails."
How can I prevent psoriasis?,"To prevent psoriasis, you should wash hands with warm soapy water, salt baths, stop bleeding using pressure, consult doctor."
What medications should I take for psoriasis?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is tuberculosis?,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
What are the symptoms of tuberculosis?,"The symptoms of tuberculosis may include  swelled_lymph_nodes,  sweating,  fatigue,  high_fever,  loss_of_appetite,  phlegm,  blood_in_sputum,  chest_pain,  cough,  chills,  mild_fever,  yellowing_of_eyes,  malaise,  breathlessness,  weight_loss,  vomiting."
How can I prevent tuberculosis?,"To prevent tuberculosis, you should consult doctor, rest, medication, cover mouth."
What medications should I take for tuberculosis?,"I'm sorry, I don't have that information."
What is typhoid?,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
What are the symptoms of typhoid?,"The symptoms of typhoid may include  nausea,  toxic_look_(typhos),  fatigue,  high_fever,  constipation,  abdominal_pain,  belly_pain,  chills,  headache,  diarrhoea,  vomiting."
How can I prevent typhoid?,"To prevent typhoid, you should eat high calorie vegitables, medication, consult doctor, antiboitic therapy."
What medications should I take for typhoid?,"I'm sorry, I don't have that information."
What is urinary tract infection?,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
What are the symptoms of urinary tract infection?,"The symptoms of urinary tract infection may include  burning_micturition,  bladder_discomfort,  continuous_feel_of_urine,  foul_smell_of urine."
How can I prevent urinary tract infection?,"To prevent urinary tract infection, you should increase vitamin c intake, take probiotics, drink plenty of water, drink cranberry juice."
What medications should I take for urinary tract infection?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is varicose veins?,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
What are the symptoms of varicose veins?,"The symptoms of varicose veins may include  fatigue,  prominent_veins_on_calf,  bruising,  swollen_blood_vessels,  swollen_legs,  obesity,  cramps."
How can I prevent varicose veins?,"To prevent varicose veins, you should dont stand still for long, lie down flat and raise the leg high, use oinments, use vein compression."
What medications should I take for varicose veins?,"I'm sorry, I don't have that information."
What is allergic rhinitis?,"I'm sorry, I don't have that information."
What are the symptoms of allergic rhinitis?,"The symptoms of allergic rhinitis may include Cough, Fatigue, Cholesterol Level."
How can I prevent allergic rhinitis?,"I'm sorry, I don't have that information."
What medications should I take for allergic rhinitis?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is alzheimer's disease?,"I'm sorry, I don't have that information."
What are the symptoms of alzheimer's disease?,"The symptoms of alzheimer's disease may include Fatigue, Fever, Cough."
How can I prevent alzheimer's disease?,"I'm sorry, I don't have that information."
What medications should I take for alzheimer's disease?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is appendicitis?,"I'm sorry, I don't have that information."
What are the symptoms of appendicitis?,"The symptoms of appendicitis may include Fever, Fatigue, Cough."
How can I prevent appendicitis?,"I'm sorry, I don't have that information."
What medications should I take for appendicitis?,( (rated '/10)
What is asthma?,"I'm sorry, I don't have that information."
What are the symptoms of asthma?,"The symptoms of asthma may include Difficulty Breathing, Fever, Cough."
How can I prevent asthma?,"I'm sorry, I don't have that information."
What medications should I take for asthma?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is atherosclerosis?,"I'm sorry, I don't have that information."
What are the symptoms of atherosclerosis?,"The symptoms of atherosclerosis may include Fatigue, Fever, Cough."
How can I prevent atherosclerosis?,"I'm sorry, I don't have that information."
What medications should I take for atherosclerosis?,( (rated '/10)
What is bipolar disorder?,"I'm sorry, I don't have that information."
What are the symptoms of bipolar disorder?,"The symptoms of bipolar disorder may include Fatigue, Fever, Cough."
How can I prevent bipolar disorder?,"I'm sorry, I don't have that information."
What medications should I take for bipolar disorder?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is bladder cancer?,"I'm sorry, I don't have that information."
What are the symptoms of bladder cancer?,"The symptoms of bladder cancer may include Fatigue, Fever, Cough."
How can I prevent bladder cancer?,"I'm sorry, I don't have that information."
What medications should I take for bladder cancer?,"( (rated '/10), ( (rated '/10)"
What is brain tumor?,"I'm sorry, I don't have that information."
What are the symptoms of brain tumor?,"The symptoms of brain tumor may include Fatigue, Fever, Cough."
How can I prevent brain tumor?,"I'm sorry, I don't have that information."
What medications should I take for brain tumor?,( (rated '/10)
What is breast cancer?,"I'm sorry, I don't have that information."
What are the symptoms of breast cancer?,"The symptoms of breast cancer may include Fatigue, Fever, Cough."
How can I prevent breast cancer?,"I'm sorry, I don't have that information."
What medications should I take for breast cancer?,"( (rated '/10), ( (rated '/10)"
What is bronchitis?,"I'm sorry, I don't have that information."
What are the symptoms of bronchitis?,"The symptoms of bronchitis may include Difficulty Breathing, Fever, Cough."
How can I prevent bronchitis?,"I'm sorry, I don't have that information."
What medications should I take for bronchitis?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is cholecystitis?,"I'm sorry, I don't have that information."
What are the symptoms of cholecystitis?,"The symptoms of cholecystitis may include Fatigue, Fever, Cough."
How can I prevent cholecystitis?,"I'm sorry, I don't have that information."
What medications should I take for cholecystitis?,( (rated '/10)
What is cholera?,"I'm sorry, I don't have that information."
What are the symptoms of cholera?,"The symptoms of cholera may include Fever, Fatigue, Difficulty Breathing."
How can I prevent cholera?,"I'm sorry, I don't have that information."
What medications should I take for cholera?,"( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is colorectal cancer?,"I'm sorry, I don't have that information."
What are the symptoms of colorectal cancer?,"The symptoms of colorectal cancer may include Fatigue, Fever, Cough."
How can I prevent colorectal cancer?,"I'm sorry, I don't have that information."
